Danske navn;Latinske navn;Engelske navn
Masaistruds;Struthio camelus;Common Ostrich
Rødstrubet Lom;Gavia stellata;Red-throated Loon
Sortstrubet Lom;Gavia arctica;Black-throated Loon
Stillehavslom;Gavia pacifica;Pacific Loon
Islom;Gavia immer;Great Northern Loon
Hvidnæbbet Lom;Gavia adamsii;Yellow-billed Loon
Tyknæbbet Lappedykker;Podilymbus podiceps;Pied-billed Grebe
Lille Lappedykker;Tachybaptus ruficollis;Little Grebe
Toppet Lappedykker;Podiceps cristatus;Great Crested Grebe
Gråstrubet Lappedykker;Podiceps grisegena;Red-necked Grebe
Nordisk Lappedykker;Podiceps auritus;Horned Grebe
Sorthalset Lappedykker;Podiceps nigricollis;Black-necked Grebe
Gulnæbbet Albatros;Thalassarche chlororhynchos;Yellow-nosed Albatross
Sortbrynet Albatros;Thalassarche melanophris;Black-browed Albatross
Hvidkronet Albatros;Thalassarche cauta;Shy Albatross
Vandrealbatros;Diomedea exulans;Wandering Albatross
Sydlig Kæmpestormfugl;Macronectes giganteus;Southern Giant Petrel
Mallemuk;Fulmarus glacialis;Northern Fulmar
Kappetrel;Daption capense;Cape Petrel
Kap Verde-petrel;Pterodroma feae;Fea’s Petrel
Madeirapetrel;Pterodroma madeira;Zino’s Petrel
Fløjlspetrel;Pterodroma mollis;Soft-plumaged Petrel
Bermudapetrel;Pterodroma cahow;Bermuda Petrel
Cariberpetrel;Pterodroma hasitata;Black-capped Petrel
Hvidbuget Petrel;Pterodroma incerta;Atlantic Petrel
Trindadepetrel;Pterodroma arminjoniana;Trindade Petrel
Spidshalet Petrel;Bulweria bulwerii;Bulwer’s Petrel
Kuhls Skråpe;Calonectris diomedea;Scopoli’s Shearwater
Atlantisk Skråpe;Calonectris borealis;Cory’s Shearwater
Kap Verde-skråpe;Calonectris edwardsii;Cape Verde Shearwater
Hvidmasket Skråpe;Calonectris leucomelas;Streaked Shearwater
Lysbenet Skråpe;Puffinus carneipes;Flesh-footed Shearwater
Storskråpe;Puffinus gravis;Great Shearwater
Kilehalet Skråpe;Puffinus pacificus;Wedge-tailed Shearwater
Sodfarvet Skråpe;Puffinus griseus;Sooty Shearwater
Almindelig Skråpe;Puffinus puffinus;Manx Shearwater
Balearskråpe;Puffinus mauretanicus;Balearic Shearwater
Ægæerskråpe;Puffinus yelkouan;Yelkouan Shearwater
Lille Skråpe;Puffinus baroli;Macaronesian Shearwater
Tropeskråpe;Puffinus lherminieri;Audubon’s Shearwater
Wilsons Stormsvale;Oceanites oceanicus;Wilson’s Storm Petrel
Fregatstormsvale;Pelagodroma marina;White-faced Storm Petrel
Sortbuget Fregatstormsvale;Fregetta tropica;Black-bellied Storm Petrel
Lille Stormsvale;Hydrobates pelagicus;European Storm Petrel
Stor Stormsvale;Oceanodroma leucorhoa;Leach’s Storm Petrel
Mørkrygget Stormsvale;Oceanodroma monorhis;Swinhoe’s Storm Petrel
Kap Verde-stormsvale;Oceanodroma jabejabe;Cape Verde Storm Petrel
Madeirastormsvale;Oceanodroma castro;Band-rumped Storm Petrel
